Website Name,Website URL,Product Link,Product Images,Selling Type,Product Title,Product Price Currency,Product Price,Current Bid Price,Current Bid Currency,Current Bid Count,Description,Condition,Condition Id,Condition Descriptors,Condition Values,Condition Additional Info,Product Availibility status,Product Availibility Quantity,Product Sold Quantity,Product Remaining Quantity,Shipping Cost,Shipping Currency,Shipping Service Code,Shipping Carrier Code,Shipping Type,Additional Shipping Cost Per Unit,Additional Shipping Cost Currency,Shipping Cost Type,Estimated Arrival,Brand,Category,Updated,Auction Id,Bid Count,Certified Seller,Favorited Count,Highest Bidder,Listing Id,Integer Id,Is Owner,Listing Type,Lot String,Slug,Starting Price,Starting Price Currency,Is Closed,User Bid Status,User Max Bid,Status,ReturnTerms returns Accepted,ReturnTerms refund Method,ReturnTerms return Shipping Cost Payer,ReturnTerms return Period Value,ReturnTerms return Period Unit,Payment Methods,Quantity Used For Estimate,Min Estimated Delivery Date,Max Estimated Delivery Date,Buying Options,Minimum Price to Bid,Minimum Price Currency,Unique Bidder Count
OfferUP,https://offerup.com/,https://offerup.com/item/detail/b6298a4d-9f97-3ed0-8b1a-c3e3600c4716?q=sports+cards,['https://images.offerup.com/Wmttj-dMVmM9VIi0o-0W7hwZlJ4=/1440x1920/b26f/b26f19ed65a5436e94782d3ff0493514.jpg'],Fixed,Sport Cards,$,$1,,,,-,Condition: Used (normal wear),,,,,,,,,-,$,,,,,,,-,-,Collectibles & Art - Collectibles,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/6d3857c3-4963-32dd-b7ab-32a551761ea9?q=sports+cards,['https://images.offerup.com/GFVbXXSKNhl-Dfn4ZpiMiClFGAE=/1920x1920/1781/178191f6dbf044a68a65cc54aabd2306.jpg'],Fixed,Box Of Sports Cards,$,$20,,,,Box of sports cards football and basketball 2022-2023 and 2023-2024,Condition: New,,,,,,,,,Ships for $9.99,$,,,,,,,-,-,Collectibles & Art - Collectibles,"Last updated 10 days ago in Danvers, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/55b58985-71bf-3008-b125-80b3f5f5590e?q=sports+cards,"['https://images.offerup.com/p5VQIdL3JwS5KHrNuBbI1W1nGLs=/1440x1920/e79f/e79fa4f848d24df99cad7ea73ac1bb4c.jpg', 'https://images.offerup.com/pcQXYvkgbnX3ZGbWLENXwDb3-n4=/1440x1920/c556/c556146032d440c58b3e7b3156273380.jpg', 'https://images.offerup.com/EzMu80bZJZhc5bqmwuh8-otvU_Y=/1440x1920/f037/f037e7a485954ad49ab890a89e5a9186.jpg']",Fixed,2019 Corbin Carroll Purple Auto 8/15! only double graded 10/10!,$,$500,,,,2019 Leaf Valiant The Talent Corbin Carroll Purple Auto 8/15! only double graded 10/10!!,Condition: Used (normal wear),,,,,,,,,-,$,,,,,,,-,10,"Toys, Games, & Hobbies - Trading cards - Sports",-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/48381561-2c9f-3707-a4ae-bf04d43bfd88?q=sports+cards,"['https://images.offerup.com/nrzonT_690n-YKj-7pPsWRrMNFc=/750x1334/b401/b4017cdf2fff4a11be1a37c3b0a16346.jpg', 'https://images.offerup.com/GoPfvsVet0tsX0cn3QKHa85U28w=/750x1334/e4da/e4daefc79e7342aa88a22b358c726106.jpg']",Fixed,Very Old School NFL Sports Cards Binder With 27 Empty Pages And 486 Card Holder Capacity,$,$40,,,,Excellent condition! 40 bucks or BO,Condition: Used (normal wear),,,,,,,,,-,$,,,,,,,-,-,Collectibles & Art - Collectibles - Trading cards,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/f59a8c0b-f9ec-37af-8875-93bc06568b7f?q=sports+cards,['https://images.offerup.com/W8Ws-3pbwFR7TPJeOiSP4yOIoEg=/1270x1922/71f3/71f38213cf1c4488892ccc69e40f80d4.jpg'],Fixed,2020 Donruss Optic - Jalen Hurts - Rated Rookie 🏈🔥,$,$45,,,,-,Condition: Used (normal wear),,,,,,,,,Ships for $4.49,$,,,,,,,-,-,"Toys, Games, & Hobbies - Trading cards - Sports","Posted 36 minutes ago in Vista, CA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/4525828c-f9c9-32f9-a3e0-0e7b51408286?q=sports+cards,"['https://images.offerup.com/AuTy8FvAD5oeAhCPABe34dvpCWE=/1922x1442/e2d0/e2d090974613446e84d8a85fad8ca8db.jpg', 'https://images.offerup.com/Gx5bIfFp8OARiPza8do6UqdTuCI=/1922x1442/ff55/ff55cc5aee104c24b9a2b1a83e42fc45.jpg']",Fixed,5000+ Sports Cards - Football And Baseball Cards,$,$45,,,,"Feel free to make an offer. Additional discount with multiple orders. See other listings with sports cards, memorabilia, and more.",Condition: Used (normal wear),,,,,,,,,-,$,,,,,,,-,Not professionally graded,Collectibles & Art - Collectibles - Trading cards,"Last updated 10 days ago in Acton, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/6b84959a-d55d-351d-84ef-cd5b4a8d59fe?q=sports+cards,['https://images.offerup.com/s_7AAztVoiN2CC5Etjl3QfrRem0=/1159x1920/5c01/5c0151919228409c8c89f0de423ea608.jpg'],Fixed,Factory Sealed Sports Cards,$,$35,,,,"Doing great deals when grabbing multiple or a mix reach out and feel free to ask, very reasonable prices.",Condition: New,,,,,,,,,-,$,,,,,,,-,-,Collectibles & Art - Collectibles,"Last updated 3 days ago in Boston, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/c3576ad7-9f73-3ef7-9f41-ac2379eb1d0d?q=sports+cards,"['https://images.offerup.com/V2zHvSGUcbNL_77L2g1bwfwXw_o=/1440x1920/4362/43627b8ae27c410e8e722b83793ae8a7.jpg', 'https://images.offerup.com/OtlblVPM7qfUuX2yrmgePVKBcNQ=/1440x1920/f81c/f81cc28dbed846c5aa859ada8f61c729.jpg', 'https://images.offerup.com/1-Bx30mDwp--oMdR49j5Is5rSQg=/1440x1920/5796/5796de5a24d54e80ab0d82a9569ffe3f.jpg', 'https://images.offerup.com/IbSKoA1cMwXh1Pg2DAMo4qQZ8O0=/1440x1920/4b9d/4b9dc75c932d43539f7b0097d7971b69.jpg', 'https://images.offerup.com/V4mgODcxuRbv8E8TqUGMO2ksEtE=/1440x1920/fdce/fdce446e12dc4de9a46957a6393e8d51.jpg', 'https://images.offerup.com/TCMjG_-IRvOTJ1NbnjflesQWgXk=/1440x1920/58ce/58ce290627d844a0ac3d4b0c340ebbf4.jpg', 'https://images.offerup.com/TitRXByzNGF9pbPXQs6qbsxora8=/1440x1920/ec47/ec47b0ee932d4563841a401ab29efa0b.jpg', 'https://images.offerup.com/hPhDEGrR_LNC3Ba2n_s09Fs14kQ=/1440x1920/f703/f703af0281b646a5ab2875993bf602d4.jpg', 'https://images.offerup.com/KPaE-V962ncV0pR4Mak1cdKsE6A=/1440x1920/f56d/f56d77880ff84efa83198bcbaa7d0041.jpg', 'https://images.offerup.com/G7v6r_RA6oeVqvjF6OjePXKkjso=/1440x1920/e0a6/e0a6c7d668c447bd8e2f243fc766bd06.jpg']",Fixed,A SPORTS FIELD GUN SAFE,$,$550,,,,Flawless condition no guns restored only baseball cards and paperwork. There’s not a scratch on the whole Safe. It cost me 1200 not including tax,Condition: Used (normal wear),,,,,,,,,-,$,,,,,,,-,Finger combo,Sports & Outdoors - Team sports,"Last updated 21 days ago in Hicksville, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/9f03ecf2-2da5-3d8d-8032-8967fb1cd0df?q=sports+cards,"['https://images.offerup.com/pBxeDzW07yM3S6ZCocFB3ulSS8o=/1920x1920/cb60/cb609614f52240c48cdaf3d75a8dcc52.jpg', 'https://images.offerup.com/Z4AKdwAGJbqMvdO8Ci_-K9xwtkE=/886x1920/50bb/50bbd4636f0e431990aae9e4eb1621c0.jpg', 'https://images.offerup.com/XLQAJLwNtig1pSBFBwhAndXg_cI=/886x1920/81d0/81d0bb9cc71f4e6b97bafe01d699c3a4.jpg']",Fixed,Special Illustration Rare #170 Terapagos Ex PsA 10 GEM MINt2024,$,$250,,,,PSA 10 graded card. Local meetup preferred but willing to ship at buyers expense.,Condition: Used (normal wear),,,,,,,,,-,$,,,,,,,-,Stellar crown,Collectibles & Art - Collectibles - Trading cards,"Last updated 4 days ago in Brockton, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OfferUP,https://offerup.com/,https://offerup.com/item/detail/878aa736-53b2-34fb-96aa-664cd3354308?q=sports+cards,"['https://images.offerup.com/OwM4Ztf1qKJ8rQMxDq-hvDtzfoI=/1440x1920/0b7e/0b7e5ce3bb53434993dff57d46c75a06.jpg', 'https://images.offerup.com/x3iPqPBQdtdO5VborxQYz_cukR8=/1440x1920/3d1b/3d1b0ecf954743ccbe43b0bfe4d9b02c.jpg']",Fixed,Victor Wembanyama 2023 Hoops arriving Now PSA Gem Mint 10 Rookie Card,$,$80,,,,"Victor Wembanyama 2023 Hoops ""Arriving Now"" PSA Gem Mint 10 Rookie Card",Condition: Used (normal wear),,,,,,,,,-,$,,,,,,,-,NBA Hoops,"Toys, Games, & Hobbies - Trading cards - Sports","Posted about 6 hours ago in Lowell, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
